Card / Deck	Oh God, You Devil	Omnath Bloodbath	What in Damnations	Angela's Party Time	Goblins	The deck with no name	Not Green	Brother of Mishra	Triple H	Blood Bath	Operation Titan	Dee Void	Bosom Buddies	Strange Thingies	Feed your head	Monsters and Mazes	MechaDragonTron	Hydra Porn	Black Hole	Meow Meow Beans	Good guys wear black	No Rares	Pale Horse	Werewolves	Trogdors	I win You lose	Fish Sticks	Slimefoot	Monkey Joe	Land Creation	Fancy Pants	Hell's Angels	X-Men	Zombies!	Vampires	Mill Deck	Heavenly Inferno	Niv-Mezzet	Mono Blue	Big Creature	Jeski Cycle	A.L.B.S.	Super Friends	Mimeoplasm	Bant Enchant	Mono Green (Elves)	Red Artifact	Clones	Gods	Bolas	Breed Lethality
"LifeTime" Pass Holder									1																																										
Abandoned Sarcophagus																																									1										
Abrupt Decay									1																																										
Abundance		1																																																	
Academy Ruins								1																		1	1									1			1												
Access Denied																	1																																		
Acererak, the Archlich																																		1																	
Acidic Slime											1																			1														1	1	1		1			
Adakar Wastes							1	1									1		1																																
Adeline, the replesant Cathar																																1																			
Aerial Surveyor																	1																																		
Aesi, Tyrant of Gyre Strait										1			1																																						
Aetherflux Resevoir																										1																									
Aetheros, shroud-veiled																																																			
Aetherspouts																																																			
Agadeem's Awakening (flip)																												1							1		1												1		
Agent of Treachery											1														1		1																	1				1			
Ajani Vengeant																				1																															
Akiri, Mind Slinger							Commander 1																																												
Akroma, Angel of Wrath																																					1														
Akroma, Vision of Ixador																																					1														
Akroma's Blessing																																									1										
Akroma's Memorial	1			1																																															
Akroma's Vengeance																							1									1			1		1				1										
Akroma's Will															1								1								1	1																			
All is Dust						1		1				1									1		1					1			1							1					1								
Allosaurus Shephard																																														1					
Alora Marry Theif																																																			
Alpine Mountain																															1																				
Alrund, god of the cosmos (flip)																																																	1		
Alrund's Epiphany																											1																								
Altar of Bahal																1													1																						
Ancient Brass Dragon														1																																					
Ancient Bronze Dragon		1																																																	
Ancient Copper Dragon																1																															1				
Ancient Den																															1																				
Ancient Gold Dragon															1										1																										
Ancient Greenwarden																														1												1									
Ancient Tomb	1							1				1																														1									
And they shall know no fear															1																																				
Angel of Despair			1																														1				1														
Angel of Destiny																										1																									
Angel of Glory's Rise																																1																			
Angel of Serenity																																					1														
Angel of Suffering																					1																														
Angel of the Dire Hour																							1																												
Angelic Destiny																																													1						
Angrath, the Flame-Chain						1																																													
Anguished Unmaking			1				1						1						1																		1												1		
Angurius, Armored Killer																																	1																		
Animar,Soul of Elements										Commander	Commander																																								
Animate Dead			1	1		1			1					1					1		1								1	1				1	1								1							1	
Animist's Awakening		1																																																	
Annoyed Altisaur																						1																													
Anowan, the rune sage																																			1																
Apex Altisaur																																								1											
Apex Devistator											1																															1				1					
Approach of the second sun																							1			1																									
Arcane Denial																																							1												
Arcane Lighthouse												1																																			1				
Arcane Sanctum							1						1						1							1																									1
Arcane Signet	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1		1			1	1	1		1			1	1	1	1	1		1	1		1	1			1	1	1	
Arcanist the Omnipotent																																							Commander												
Arch of Orazca												1																1																							
Archangel of Thune																																1																			
Archetype of Endurance																		1				1											1							1				1	1						
Archetype of Imagination											1						1					1																							1						
Archive's Trap																																				1															
Archmage's Charm								1																																											
Archon of Coronation																																	1																		
Archon of Cruelty																					1																														
Arctic Treeline																																1	1																		
Arena Rector																				1																															
Arid Mesa	1	1		1																1				1		1				1	1		1				1												1	1	
Arixmethes, Slumbering Isle											1																													1				1							
Arlinn Kord																								1																											
Arlinn, the Pack's H??e																								1																											
Armadillo Cloak																																													1						
Armillary Sphere					1									1					1		1		1																												
Army of the damned						1																																													
